"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1970-02"",97.05965,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1970-03"",97.2476,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1970-04"",97.34515,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1970-05"",97.34039,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1970-06"",97.26816,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1970-07"",97.14597,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1970-08"",97.00953,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1970-09"",96.90865,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1970-10"",96.85371,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1970-11"",96.85675,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1970-12"",96.93652,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1971-01"",97.09645,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1971-02"",97.36407,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1971-03"",97.78358,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1971-04"",98.37986,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1971-05"",99.10771,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1971-06"",99.93446,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1971-07"",100.849,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1971-08"",101.7641,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1971-09"",102.6431,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1971-10"",103.4585,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1971-11"",104.1991,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1971-12"",104.8686,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1972-01"",105.4318,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1972-02"",105.9438,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1972-03"",106.4559,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1972-04"",106.9025,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1972-05"",107.1452,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1972-06"",107.1287,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1972-07"",106.9454,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1972-08"",106.7097,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1972-09"",106.4928,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1972-10"",106.3477,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1972-11"",106.2183,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1972-12"",106.0479,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1973-01"",105.7996,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1973-02"",105.5277,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1973-03"",105.2549,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1973-04"",104.9714,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1973-05"",104.6556,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1973-06"",104.2694,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1973-07"",103.7312,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1973-08"",102.9785,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1973-09"",101.9904,"
